,Epoch,Accuracy,Average_loss
0,1,88.37,0.34033
1,2,89.64,0.30043
2,3,90.73,0.26924
3,4,91.8,0.23626
4,5,91.75,0.23926
5,6,91.69,0.25531
6,7,92.41,0.23424
7,8,92.41,0.25904
8,9,92.5,0.25744
9,10,92.24,0.27996
10,11,92.99,0.25702
11,12,92.32,0.31074
12,13,92.01,0.32141
13,14,93.02,0.28963
14,15,93.07,0.30462
15,16,92.78,0.32138
16,17,92.94,0.32133
17,18,92.83,0.34251
18,19,93.17,0.33548
19,20,92.9,0.34904
20,21,92.8,0.36154
21,22,93.19,0.37812
22,23,92.96,0.37627
23,24,93.14,0.35338
24,25,93.14,0.34872
25,26,93.4,0.37851
26,27,93.73,0.37195
27,28,92.98,0.39509
28,29,93.33,0.41325
29,30,93.53,0.38942
30,31,93.29,0.39391
31,32,93.54,0.3919
32,33,93.64,0.37584
33,34,93.52,0.42245
34,35,93.24,0.4425
35,36,93.5,0.40421
36,37,93.53,0.42184
37,38,93.81,0.42147
38,39,93.54,0.45976
39,40,93.42,0.441
40,41,93.56,0.40686
41,42,93.82,0.43292
42,43,93.68,0.45707
43,44,93.71,0.42282
44,45,93.52,0.46394
45,46,93.67,0.47884
46,47,93.87,0.45072
47,48,93.88,0.48514
48,49,93.37,0.48124
49,50,93.44,0.54174
50,51,93.7,0.51259
51,52,93.86,0.48097
52,53,93.93,0.48731
53,54,93.8,0.50287
54,55,93.61,0.53532
55,56,93.79,0.48395
56,57,93.8,0.48357
57,58,93.89,0.51809
58,59,93.76,0.50516
59,60,94.12,0.51281
60,61,93.73,0.56708
61,62,93.94,0.54257
62,63,93.6,0.53333
63,64,94.22,0.53089
64,65,93.93,0.51928
65,66,93.69,0.57186
66,67,93.9,0.54451
67,68,94.09,0.54083
68,69,93.89,0.56186
69,70,93.72,0.57571
70,71,93.63,0.57248
71,72,93.52,0.63671
72,73,94.05,0.60588
73,74,93.8,0.59185
74,75,93.73,0.5876
75,76,93.93,0.57442
76,77,93.46,0.63756
77,78,93.76,0.60697
78,79,93.74,0.57264
79,80,93.76,0.63608
80,81,93.8,0.62778
81,82,93.48,0.63173
82,83,94.01,0.59712
83,84,93.84,0.63342
84,85,94.0,0.63093
85,86,93.82,0.63311
86,87,94.08,0.62595
87,88,93.9,0.65885
88,89,93.66,0.6964
89,90,94.05,0.68692
90,91,94.08,0.66068
91,92,93.9,0.65053
92,93,93.99,0.6664
93,94,94.0,0.67903
94,95,94.11,0.67041
95,96,94.15,0.65015
96,97,93.99,0.71839
97,98,94.16,0.68761
98,99,94.1,0.68882
99,100,93.89,0.67732
100,101,93.96,0.71241
101,102,94.13,0.71652
102,103,94.11,0.72284
103,104,94.04,0.70661
104,105,93.88,0.68619
105,106,93.82,0.75288
106,107,93.89,0.75026
107,108,94.13,0.72088
108,109,93.87,0.79288
109,110,93.74,0.76087
110,111,93.91,0.70661
111,112,94.0,0.74228
112,113,94.07,0.75787
113,114,93.76,0.81757
114,115,93.73,0.82245
115,116,94.01,0.77538
116,117,94.03,0.74926
117,118,94.04,0.7584
118,119,93.94,0.79696
119,120,94.05,0.80194
120,121,94.06,0.79211
121,122,94.14,0.81608
122,123,94.06,0.84204
123,124,93.98,0.81851
124,125,93.88,0.81014
125,126,94.11,0.84436
126,127,94.2,0.77907
127,128,94.08,0.79606
128,129,94.3,0.8394
129,130,93.91,0.86236
130,131,94.28,0.83488
131,132,93.85,0.84171
132,133,94.17,0.83229
133,134,93.88,0.81893
134,135,94.13,0.86867
135,136,93.85,0.86286
136,137,94.16,0.88131
137,138,93.9,0.88131
138,139,93.92,0.88544
139,140,94.16,0.88834
140,141,93.93,0.92685
141,142,94.17,0.89393
142,143,94.05,0.88565
143,144,94.05,0.95091
144,145,94.29,0.88593
145,146,94.03,0.88153
146,147,94.07,0.88964
147,148,94.08,0.91312
148,149,94.21,0.90894
149,150,94.08,0.95961
150,151,94.28,0.94812
151,152,94.2,0.94576
152,153,94.18,0.97594
153,154,94.28,0.91787
154,155,94.2,0.95792
155,156,94.14,0.96774
156,157,94.3,0.9368
157,158,94.31,0.91924
158,159,94.05,0.9208
159,160,94.11,0.94701
160,161,93.97,0.94686
161,162,93.92,0.98831
162,163,93.93,1.08773
163,164,93.96,1.00978
164,165,93.83,0.99933
165,166,93.95,1.0057
166,167,94.09,0.99477
167,168,94.24,0.95543
168,169,93.97,1.09369
169,170,93.88,0.96411
170,171,93.92,0.96333
171,172,94.22,0.96661
172,173,94.0,0.96381
173,174,94.17,0.96995
174,175,94.12,0.99634
175,176,94.16,0.99884
176,177,94.08,1.03777
177,178,94.01,0.98567
178,179,94.13,0.96505
179,180,94.39,0.98216
180,181,94.35,0.99087
181,182,94.26,0.97069
182,183,94.31,0.98406
183,184,94.32,1.01985
184,185,94.22,0.99987
185,186,93.93,1.07727
186,187,94.22,1.01804
187,188,94.16,1.04864
188,189,94.13,1.0688
189,190,94.37,1.1096
190,191,94.28,1.00607
191,192,94.06,1.0875
192,193,94.19,1.0406
193,194,94.54,1.04092
194,195,94.42,1.01846
195,196,94.4,1.00519
196,197,94.31,0.99986
197,198,94.26,0.99172
198,199,94.34,1.04163
199,200,94.41,1.0539
